epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.116,3.06089,1.9235,1.54892,0.31507,0.15763,0.15777,0.05101,2.80305,1.6849,1.45286,0.0677417,0.00099768,0.00099768
2,274.747,2.72703,1.63656,1.33442,0.39744,0.16833,0.18987,0.06147,2.73683,1.65877,1.37784,0.0354079,0.00199719,0.00199719
3,423.388,2.69142,1.589,1.28007,0.35424,0.16567,0.18105,0.05806,2.77543,1.59462,1.38911,0.00307209,0.00299475,0.00299475
4,583.185,2.59657,1.52953,1.25224,0.38524,0.17455,0.19254,0.06258,2.74058,1.56261,1.39907,0.00299341,0.00299341,0.00299341
5,716.665,2.50424,1.41993,1.22828,0.38841,0.17196,0.19652,0.06357,2.7356,1.56077,1.3952,0.00298829,0.00298829,0.00298829
6,852.931,2.42904,1.35357,1.19862,0.37534,0.17684,0.18975,0.06177,2.67566,1.57261,1.33774,0.00298172,0.00298172,0.00298172
7,995.2,2.31637,1.27267,1.16144,0.40404,0.18218,0.19999,0.06505,2.63975,1.57499,1.29927,0.0029737,0.0029737,0.0029737
8,1129.44,2.23609,1.21772,1.13234,0.39021,0.17906,0.19876,0.0647,2.65263,1.56957,1.32751,0.00296424,0.00296424,0.00296424
9,1265.49,2.14179,1.17087,1.11178,0.38319,0.1751,0.19176,0.06303,2.64357,1.58751,1.3157,0.00295335,0.00295335,0.00295335
10,1403.9,2.09713,1.13817,1.09363,0.40811,0.18129,0.2017,0.06427,2.64622,1.57067,1.29049,0.00294104,0.00294104,0.00294104
11,1553.37,2.07598,1.13098,1.09568,0.36598,0.17953,0.18777,0.06154,2.62613,1.6037,1.31027,0.00292732,0.00292732,0.00292732
12,1696.71,2.02031,1.09629,1.07109,0.39843,0.18415,0.20408,0.06731,2.6337,1.53203,1.31562,0.00291221,0.00291221,0.00291221
13,1835.01,1.96804,1.06945,1.05227,0.3807,0.18358,0.19129,0.0611,2.61562,1.58438,1.28785,0.00289572,0.00289572,0.00289572
14,1954.14,1.96008,1.05675,1.0509,0.38747,0.17511,0.19549,0.06434,2.66419,1.56779,1.31605,0.00287787,0.00287787,0.00287787
15,2094.78,1.94911,1.04452,1.03813,0.39898,0.18144,0.19922,0.06526,2.63338,1.55224,1.30502,0.00285867,0.00285867,0.00285867
16,2238.69,1.9354,1.05058,1.0479,0.41242,0.18296,0.20677,0.06797,2.63261,1.56262,1.29306,0.00283814,0.00283814,0.00283814
17,2382.68,1.90547,1.03976,1.04244,0.4092,0.18358,0.20544,0.0673,2.63849,1.53203,1.30754,0.00281632,0.00281632,0.00281632
18,2529.18,1.89672,1.02669,1.038,0.4009,0.18293,0.20121,0.06665,2.6203,1.56955,1.29365,0.0027932,0.0027932,0.0027932
19,2659.46,1.86284,1.01067,1.02994,0.40219,0.18218,0.20221,0.06591,2.65849,1.56439,1.28232,0.00276883,0.00276883,0.00276883
